Bor. Mönchengladbach;Hamburger SV;1;2;0;10148;1292617800000
1. FC Nürnberg;Hannover 96;3;1;0;10149;1292686200000
FC St. Pauli;1. FSV Mainz 05;2;4;0;10150;1292697000000
FC Schalke 04;Hamburger SV;0;1;0;10151;1295116200000
Werder Bremen;1899 Hoffenheim;2;1;0;10152;1295105400000
Bayer Leverkusen;Borussia Dortmund;1;3;0;10153;1295037000000
VfB Stuttgart;1. FSV Mainz 05;1;0;0;10154;1295105400000
VfL Wolfsburg;FC Bayern München;1;1;0;10155;1295105400000
Eintracht Frankfurt;Hannover 96;0;3;0;10156;1295191800000
1. FC Nürnberg;Bor. Mönchengladbach;0;1;0;10157;1295105400000
1. FC Kaiserslautern;1. FC Köln;1;1;0;10158;1295199000000
FC St. Pauli;SC Freiburg;2;2;0;10159;1295105400000
FC Bayern München;1. FC Kaiserslautern;5;1;0;10160;1295710200000
Borussia Dortmund;VfB Stuttgart;1;1;0;10161;1295710200000
Hamburger SV;Eintracht Frankfurt;1;0;0;10162;1295641800000
1. FSV Mainz 05;VfL Wolfsburg;0;1;0;10163;1295710200000
1899 Hoffenheim;FC St. Pauli;2;2;0;10164;1295803800000
Bor. Mönchengladbach;Bayer Leverkusen;1;3;0;10165;1295796600000
1. FC Köln;Werder Bremen;3;0;0;10166;1295721000000
SC Freiburg;1. FC Nürnberg;1;1;0;10167;1295710200000
Hannover 96;FC Schalke 04;0;1;0;10168;1295710200000
FC Schalke 04;1899 Hoffenheim;0;1;0;10169;1296315000000
Werder Bremen;FC Bayern München;1;3;0;10170;1296315000000
Bayer Leverkusen;Hannover 96;2;0;0;10171;1296246600000
VfB Stuttgart;SC Freiburg;0;1;0;10172;1296401400000
VfL Wolfsburg;Borussia Dortmund;0;3;0;10173;1296315000000
Eintracht Frankfurt;Bor. Mönchengladbach;0;1;0;10174;1296408600000
1. FC Nürnberg;Hamburger SV;2;0;0;10175;1296315000000
1. FC Kaiserslautern;1. FSV Mainz 05;0;1;0;10176;1296325800000
FC St. Pauli;1. FC Köln;3;0;0;10177;1296315000000
Borussia Dortmund;FC Schalke 04;0;0;0;10178;1296851400000
Hamburger SV;FC St. Pauli;0;1;404;10179;1297881900000
1. FSV Mainz 05;Werder Bremen;1;1;0;10180;1296919800000
1899 Hoffenheim;1. FC Kaiserslautern;3;2;0;10181;1296919800000
Bor. Mönchengladbach;VfB Stuttgart;2;3;0;10182;1296930600000
1. FC Köln;FC Bayern München;3;2;0;10183;1296919800000
SC Freiburg;Eintracht Frankfurt;0;0;0;10184;1297013400000
Hannover 96;VfL Wolfsburg;1;0;0;10185;1296919800000
1. FC Nürnberg;Bayer Leverkusen;1;0;0;10186;1296919800000
FC Bayern München;1899 Hoffenheim;4;0;0;10187;1297524600000
FC Schalke 04;SC Freiburg;1;0;0;10188;1297524600000
Werder Bremen;Hannover 96;1;1;0;10189;1297618200000
VfB Stuttgart;1. FC Nürnberg;1;4;0;10190;1297524600000
VfL Wolfsburg;Hamburger SV;0;1;0;10191;1297524600000
Eintracht Frankfurt;Bayer Leverkusen;0;3;0;10192;1297524600000
1. FC Köln;1. FSV Mainz 05;4;2;0;10193;1297611000000
1. FC Kaiserslautern;Borussia Dortmund;1;1;0;10194;1297535400000
FC St. Pauli;Bor. Mönchengladbach;3;1;0;10195;1297524600000
Bayer Leverkusen;VfB Stuttgart;4;2;0;10196;1298215800000
Borussia Dortmund;FC St. Pauli;2;0;0;10197;1298129400000
Hamburger SV;Werder Bremen;4;0;0;10198;1298129400000
1. FSV Mainz 05;FC Bayern München;1;3;0;10199;1298140200000
1899 Hoffenheim;1. FC Köln;1;1;0;10200;1298129400000
Bor. Mönchengladbach;FC Schalke 04;2;1;0;10201;1298223000000
SC Freiburg;VfL Wolfsburg;2;1;0;10202;1298129400000
Hannover 96;1. FC Kaiserslautern;3;0;0;10203;1298129400000
1. FC Nürnberg;Eintracht Frankfurt;3;0;0;10204;1298061000000
FC Bayern München;Borussia Dortmund;1;3;0;10205;1298745000000
FC Schalke 04;1. FC Nürnberg;1;1;0;10206;1298734200000
Werder Bremen;Bayer Leverkusen;2;2;0;10207;1298827800000
VfL Wolfsburg;Bor. Mönchengladbach;2;1;0;10208;1298665800000
Eintracht Frankfurt;VfB Stuttgart;0;2;0;10209;1298820600000
