Hamburger SV;FC Schalke 04;2;2;168;5544;1269185400000
Hamburger SV;FC Schalke 04;2;1;362;10000;1282415400000
FC Schalke 04;Hamburger SV;0;1;0;10151;1295116200000
Werder Bremen;FC Bayern München;0;0;0;2181;1235926800000
FC Bayern München;Werder Bremen;0;0;34;10016;1284229800000
Werder Bremen;FC Bayern München;1;3;0;10170;1296315000000
FC Schalke 04;Werder Bremen;1;0;0;2154;1234020600000
Werder Bremen;FC Schalke 04;0;2;36;5445;1260642600000
FC Schalke 04;Werder Bremen;0;2;0;5598;1272727800000
FC Schalke 04;Werder Bremen;4;0;0;10106;1290267000000
Werder Bremen;FC Schalke 04;1;1;0;10260;1302978600000
Bayer Leverkusen;Werder Bremen;1;1;0;2228;1239555600000
Bayer Leverkusen;Werder Bremen;1;0;0;5049;1243713600000
Bayer Leverkusen;Werder Bremen;0;0;28;5324;1253467800000
Werder Bremen;Bayer Leverkusen;2;2;0;5509;1266773400000
Bayer Leverkusen;Werder Bremen;2;2;28;10052;1286127000000
Werder Bremen;Bayer Leverkusen;2;2;0;10207;1298827800000
Werder Bremen;VfB Stuttgart;4;0;0;2203;1237136400000
VfB Stuttgart;Werder Bremen;0;2;37;5339;1254670200000
Werder Bremen;VfB Stuttgart;2;2;0;5524;1267889400000
VfB Stuttgart;Werder Bremen;6;0;0;10090;1289151000000
Werder Bremen;VfB Stuttgart;1;1;0;10242;1301758200000
Borussia Dortmund;Werder Bremen;1;2;0;4898;1233169200000
Borussia Dortmund;Werder Bremen;1;0;0;2210;1237649400000
Werder Bremen;Borussia Dortmund;1;1;36;5410;1257701400000
Borussia Dortmund;Werder Bremen;2;1;35;5563;1270308600000
Borussia Dortmund;Werder Bremen;2;0;35;10134;1292092200000
Werder Bremen;Borussia Dortmund;2;0;0;10287;1304782200000
VfL Wolfsburg;Werder Bremen;2;5;0;4927;1236193200000
VfL Wolfsburg;Werder Bremen;5;1;0;2291;1243092600000
Werder Bremen;VfL Wolfsburg;2;2;36;5427;1259422200000
VfL Wolfsburg;Werder Bremen;2;4;0;5580;1271518200000
VfL Wolfsburg;Werder Bremen;0;0;0;10127;1291476600000
Werder Bremen;VfL Wolfsburg;0;1;0;10278;1304109000000
Werder Bremen;Bor. Mönchengladbach;1;1;0;2171;1234625400000
Werder Bremen;Bor. Mönchengladbach;3;0;36;5296;1251048600000
Bor. Mönchengladbach;Werder Bremen;4;3;36;5481;1264865400000
Bor. Mönchengladbach;Werder Bremen;1;4;32;10075;1287847800000
Werder Bremen;Bor. Mönchengladbach;1;1;36;10225;1299954600000
Werder Bremen;1. FC Kaiserslautern;1;2;0;10143;1292686200000
1. FC Kaiserslautern;Werder Bremen;3;2;0;10303;1305387000000
SC Freiburg;Werder Bremen;0;6;26;5423;1258817400000
Werder Bremen;SC Freiburg;4;0;36;5576;1270913400000
Werder Bremen;SC Freiburg;2;1;36;10063;1287243000000
SC Freiburg;Werder Bremen;1;3;0;10220;1299425400000
Werder Bremen;1. FSV Mainz 05;3;0;36;5333;1253979000000
1. FSV Mainz 05;Werder Bremen;1;2;0;5518;1267284600000
Werder Bremen;1. FSV Mainz 05;0;2;0;10027;1284823800000
1. FSV Mainz 05;Werder Bremen;1;1;0;10180;1296919800000
Eintracht Frankfurt;Werder Bremen;0;5;0;2273;1242244800000
Werder Bremen;Eintracht Frankfurt;2;3;36;5279;1249745400000
Eintracht Frankfurt;Werder Bremen;1;0;0;5464;1263655800000
Werder Bremen;Eintracht Frankfurt;0;0;0;10098;1289662200000
Eintracht Frankfurt;Werder Bremen;1;1;30;10254;1302294600000
1. FC Köln;Werder Bremen;1;0;0;2255;1241370000000
1. FC Köln;Werder Bremen;0;0;31;5440;1260113400000
Werder Bremen;1. FC Köln;1;0;0;5593;1272133800000
Werder Bremen;1. FC Köln;4;2;36;10008;1283009400000
1. FC Köln;Werder Bremen;3;0;0;10166;1295721000000
Werder Bremen;FC St. Pauli;3;0;0;10116;1290958200000
FC St. Pauli;Werder Bremen;1;3;0;10276;1303572600000
1. FC Nürnberg;Werder Bremen;2;2;21;5405;1257003000000
Werder Bremen;1. FC Nürnberg;4;2;36;5558;1269703800000
Werder Bremen;1. FC Nürnberg;2;3;36;10081;1288452600000
1. FC Nürnberg;Werder Bremen;1;3;21;10240;1300548600000
Werder Bremen;Hannover 96;4;1;0;2223;1238950800000
Werder Bremen;Hannover 96;0;0;36;5315;1252855800000
Hannover 96;Werder Bremen;1;5;29;5500;1266075000000
Hannover 96;Werder Bremen;4;1;0;10041;1285099200000
Werder Bremen;Hannover 96;1;1;0;10189;1297618200000
Hamburger SV;Werder Bremen;2;4;0;5048;1240432200000
